iter	Passed	Remaining
0	79	47476
1	137	41122
2	194	38690
3	250	37329
4	303	36166
5	359	35637
6	427	36219
7	484	35831
8	541	35536
9	594	35096
10	652	34963
11	710	34816
12	763	34463
13	818	34279
14	876	34201
15	932	34024
16	989	33922
17	1041	33671
18	1096	33518
19	1147	33289
20	1211	33414
21	1263	33200
22	1317	33045
23	1373	32952
24	1427	32839
25	1483	32751
26	1540	32689
27	1597	32637
28	1651	32515
29	1708	32458
30	1767	32434
31	1825	32403
32	1883	32354
33	1939	32281
34	1994	32199
35	2047	32079
36	2102	31990
37	2158	31925
38	2210	31803
39	2267	31747
40	2324	31696
41	2386	31703
42	2440	31608
43	2498	31569
44	2554	31506
45	2608	31421
46	2664	31351
47	2722	31308
48	2782	31289
49	2847	31321
50	2901	31231
51	2958	31176
52	3014	31116
53	3068	31026
54	3129	31014
55	3181	30907
56	3230	30776
57	3286	30713
58	3343	30658
59	3396	30565
60	3451	30493
61	3509	30456
62	3561	30360
63	3615	30280
64	3669	30205
65	3726	30148
66	3783	30095
67	3839	30042
68	3900	30015
69	3959	29980
70	4012	29893
71	4068	29834
72	4123	29770
73	4178	29700
74	4231	29623
75	4288	29569
76	4345	29513
77	4405	29479
78	4461	29424
79	4521	29387
80	4575	29319
81	4635	29279
82	4691	29222
83	4745	29147
84	4806	29122
85	4869	29102
86	4926	29051
87	4993	29053
88	5051	29001
89	5103	28921
90	5160	28862
91	5217	28809
92	5275	28757
93	5331	28698
94	5390	28652
95	5441	28566
96	5500	28525
97	5553	28450
98	5609	28386
99	5667	28335
100	5723	28278
101	5779	28219
102	5835	28156
103	5886	28072
104	5943	28018
105	5994	27936
106	6050	27879
107	6104	27809
108	6163	27763
109	6221	27711
110	6280	27666
111	6340	27624
112	6398	27576
113	6458	27534
114	6514	27475
115	6566	27396
116	6618	27324
117	6678	27280
118	6737	27232
119	6795	27181
120	6847	27107
121	6909	27070
122	6963	27004
123	7020	26950
124	7076	26889
125	7130	26823
126	7185	26762
127	7236	26685
128	7294	26634
129	7349	26570
130	7409	26525
131	7462	26457
132	7524	26421
133	7576	26348
134	7632	26290
135	7686	26225
136	7741	26162
137	7792	26087
138	7844	26017
139	7904	25970
140	7957	25905
141	8011	25840
142	8070	25790
143	8122	25720
144	8177	25661
145	8235	25609
146	8292	25553
147	8344	25485
148	8402	25432
149	8454	25362
150	8509	25302
151	8571	25263
152	8627	25205
153	8682	25146
154	8741	25097
155	8798	25041
156	8852	24979
157	8907	24918
158	8968	24875
159	9024	24817
160	9084	24771
161	9142	24718
162	9202	24672
163	9264	24628
164	9321	24574
165	9382	24529
166	9436	24467
167	9495	24417
168	9563	24388
169	9622	24338
170	9680	24285
171	9734	24222
172	9787	24157
173	9845	24105
174	9900	24043
175	9964	24006
176	10018	23942
177	10074	23884
178	10132	23831
179	10194	23787
180	10246	23720
181	10302	23661
182	10363	23615
183	10418	23555
184	10474	23496
185	10528	23434
186	10587	23383
187	10643	23325
188	10696	23259
189	10751	23200
190	10807	23143
191	10863	23085
192	10916	23020
193	10973	22965
194	11032	22912
195	11087	22852
196	11142	22794
197	11195	22731
198	11255	22680
199	11311	22623
200	11370	22570
201	11424	22508
202	11480	22452
203	11536	22393
204	11588	22329
205	11645	22274
206	11704	22221
207	11762	22166
208	11819	22111
209	11873	22050
210	11930	21994
211	11986	21937
212	12045	21885
213	12096	21818
214	12152	21761
215	12206	21700
216	12259	21638
217	12316	21582
218	12370	21520
219	12426	21464
220	12483	21407
221	12537	21346
222	12593	21289
223	12650	21235
224	12708	21181
225	12763	21121
226	12822	21069
227	12874	21006
228	12924	20939
229	12978	20878
230	13032	20818
231	13085	20755
232	13137	20692
233	13186	20624
234	13243	20569
235	13299	20512
236	13353	20453
237	13412	20400
238	13467	20342
239	13528	20293
240	13584	20235
241	13641	20180
242	13693	20117
243	13747	20058
244	13802	20000
245	13860	19945
246	13919	19893
247	13979	19841
248	14031	19779
249	14089	19724
250	14142	19664
251	14191	19597
252	14245	19538
253	14294	19472
254	14353	19419
255	14408	19361
256	14461	19300
257	14511	19236
258	14566	19178
259	14623	19123
260	14678	19064
261	14733	19007
262	14789	18950
263	14845	18893
264	14899	18835
265	14953	18776
266	15005	18714
267	15059	18655
268	15112	18596
269	15169	18540
270	15222	18480
271	15277	18423
272	15328	18360
273	15386	18306
274	15441	18249
275	15500	18196
276	15555	18138
277	15607	18077
278	15660	18018
279	15716	17961
280	15770	17902
281	15820	17840
282	15875	17782
283	15933	17728
284	15989	17672
285	16047	17619
286	16103	17562
287	16153	17499
288	16269	17507
289	16359	17487
290	16415	17431
291	16468	17370
292	16521	17310
293	16580	17256
294	16634	17197
295	16689	17140
296	16736	17074
297	16798	17024
